[20668:3892:0529/172638.167:WARNING:leveldb_database.cc(106)] Unable to open D:\Documents\IIT\FinalYear\FYP\Implementation\Misc\ChromeProfile\Default\shared_proto_db: Invalid argument: D:\Documents\IIT\FinalYear\FYP\Implementation\Misc\ChromeProfile\Default\shared_proto_db: does not exist (create_if_missing is false)
[20668:17800:0529/172640.039:INFO:CONSOLE(0)] "[DOM] Input elements should have autocomplete attributes (suggested: "current-password"): (More info: https://goo.gl/9p2vKq) %o", source: http://localhost:8081/fyp_samples/login_1/ (0)
[20668:17800:0529/172640.106:INFO:CONSOLE(10)] "Got message [object Object]", source: chrome-extension://onihgekcipimifpfdgkdadgglpjokaoe/scripts/background.js (10)
[20668:17800:0529/172640.141:INFO:CONSOLE(96)] "Recieved message record story 2", source: chrome-extension://onihgekcipimifpfdgkdadgglpjokaoe/scripts/content.js (96)
[20668:17800:0529/172640.157:INFO:CONSOLE(100)] "Starting record", source: chrome-extension://onihgekcipimifpfdgkdadgglpjokaoe/scripts/content.js (100)
[20668:17800:0529/172640.159:INFO:CONSOLE(10)] "Got message [object Object]", source: chrome-extension://onihgekcipimifpfdgkdadgglpjokaoe/scripts/background.js (10)
[20668:17800:0529/172641.567:INFO:CONSOLE(223)] "click 1559131001567", source: chrome-extension://onihgekcipimifpfdgkdadgglpjokaoe/scripts/content.js (223)
[20668:17800:0529/172642.937:INFO:CONSOLE(275)] "key press 66 1559131002937", source: chrome-extension://onihgekcipimifpfdgkdadgglpjokaoe/scripts/content.js (275)
[20668:17800:0529/172643.203:INFO:CONSOLE(275)] "key press 85 1559131003203", source: chrome-extension://onihgekcipimifpfdgkdadgglpjokaoe/scripts/content.js (275)
[20668:17800:0529/172643.397:INFO:CONSOLE(275)] "key press 85 1559131003397", source: chrome-extension://onihgekcipimifpfdgkdadgglpjokaoe/scripts/content.js (275)
[20668:17800:0529/172643.516:INFO:CONSOLE(275)] "key press 87 1559131003515", source: chrome-extension://onihgekcipimifpfdgkdadgglpjokaoe/scripts/content.js (275)
[20668:17800:0529/172643.681:INFO:CONSOLE(275)] "key press 87 1559131003680", source: chrome-extension://onihgekcipimifpfdgkdadgglpjokaoe/scripts/content.js (275)
[20668:17800:0529/172643.834:INFO:CONSOLE(275)] "key press 72 1559131003833", source: chrome-extension://onihgekcipimifpfdgkdadgglpjokaoe/scripts/content.js (275)
[20668:17800:0529/172643.904:INFO:CONSOLE(275)] "key press 87 1559131003903", source: chrome-extension://onihgekcipimifpfdgkdadgglpjokaoe/scripts/content.js (275)
[20668:17800:0529/172643.999:INFO:CONSOLE(275)] "key press 72 1559131003998", source: chrome-extension://onihgekcipimifpfdgkdadgglpjokaoe/scripts/content.js (275)
[20668:17800:0529/172644.092:INFO:CONSOLE(275)] "key press 87 1559131004091", source: chrome-extension://onihgekcipimifpfdgkdadgglpjokaoe/scripts/content.js (275)
[20668:17800:0529/172644.158:INFO:CONSOLE(275)] "key press 72 1559131004158", source: chrome-extension://onihgekcipimifpfdgkdadgglpjokaoe/scripts/content.js (275)
[20668:17800:0529/172644.243:INFO:CONSOLE(275)] "key press 87 1559131004242", source: chrome-extension://onihgekcipimifpfdgkdadgglpjokaoe/scripts/content.js (275)
[20668:17800:0529/172644.316:INFO:CONSOLE(275)] "key press 72 1559131004316", source: chrome-extension://onihgekcipimifpfdgkdadgglpjokaoe/scripts/content.js (275)
[20668:17800:0529/172644.445:INFO:CONSOLE(275)] "key press 87 1559131004444", source: chrome-extension://onihgekcipimifpfdgkdadgglpjokaoe/scripts/content.js (275)
[20668:17800:0529/172644.579:INFO:CONSOLE(262)] "type buuwwhwhwhwhw on /html/body/div/div/div/form/div/input", source: chrome-extension://onihgekcipimifpfdgkdadgglpjokaoe/scripts/content.js (262)
[20668:17800:0529/172644.580:INFO:CONSOLE(337)] "saving step {"type":"type","value":"buuwwhwhwhwhw","UIObject":{"tagName":"input","elementID":"","name":"username","xpath":"/html/body/div/div/div/form/div/input","label":"","innerText":"","placeholder":"Enter username"},"time":1559131004579}", source: chrome-extension://onihgekcipimifpfdgkdadgglpjokaoe/scripts/content.js (337)
[20668:17800:0529/172644.582:INFO:CONSOLE(10)] "Got message [object Object]", source: chrome-extension://onihgekcipimifpfdgkdadgglpjokaoe/scripts/background.js (10)
[20668:17800:0529/172644.682:INFO:CONSOLE(26)] "response sent", source: chrome-extension://onihgekcipimifpfdgkdadgglpjokaoe/scripts/background.js (26)
